,city,lat,lng,max temp,humidity,cloudiness,wind_speed,country,date
362,Oktyabr'skiy,54.48,53.47,54.1,92,79,5.21,RU,1597546126
363,Valparaíso,-33.04,-71.63,42.8,87,0,4.7,CL,1597546126
364,Kahului,20.89,-156.47,89.6,49,40,25.28,US,1597546127
365,Carballo,43.21,-8.69,64.0,87,80,6.93,ES,1597546127
366,Jiuquan,39.74,98.52,74.55,30,100,6.98,CN,1597546127
367,Kamenka,51.32,42.77,51.01,86,9,1.99,RU,1597546127
368,Tazmalt,36.39,4.4,77.0,88,40,4.7,DZ,1597546127
369,Wewak,-3.55,143.63,84.34,65,24,6.76,PG,1597546127
370,Hammerfest,70.66,23.68,44.6,87,77,34.45,NO,1597546127
371,Comodoro Rivadavia,-45.87,-67.5,50.0,43,40,28.86,AR,1597546092
372,Yarmouth,41.71,-70.23,70.0,83,90,9.17,US,1597546005
373,Abhā,18.22,42.51,68.0,68,93,2.62,SA,1597546128
374,Mitú,1.2,-70.17,74.01,87,81,1.99,CO,1597546128
375,Boa Vista,2.82,-60.67,84.2,70,40,5.82,BR,1597545829
376,La Fria,8.22,-72.24,74.23,86,100,4.38,VE,1597546128
377,Santa Maria,-29.68,-53.81,57.2,76,75,2.24,BR,1597546128
378,Laguna,38.42,-121.42,105.8,9,1,5.82,US,1597546129
379,Kargasok,59.06,80.86,55.83,87,99,6.06,RU,1597546129
380,Siraha,26.65,86.21,86.88,70,5,15.59,NP,1597546129
381,Lerwick,60.15,-1.15,55.4,93,95,2.24,GB,1597546129
382,Safi,32.3,-9.24,65.62,84,0,14.52,MA,1597546129
383,Saint-Augustin,51.23,-58.65,59.43,69,93,7.72,CA,1597546129
384,Mobara,35.42,140.3,91.4,79,75,11.41,JP,1597546130
385,Phan Thiet,10.93,108.1,85.3,69,25,5.46,VN,1597546130
386,Buchanan,5.88,-10.05,75.11,84,91,11.9,LR,1597546130
387,Ubari,26.59,12.78,75.94,28,0,7.87,LY,1597546130
388,Wanning,18.8,110.4,86.95,70,62,9.62,CN,1597546130
389,La Reforma,25.08,-108.05,90.0,51,0,5.01,MX,1597546131
390,Champerico,14.3,-91.92,79.92,83,93,9.44,GT,1597546131
391,Alamosa,37.47,-105.87,69.8,30,1,10.29,US,1597546131
392,Mirador,-6.37,-44.36,73.8,41,85,1.88,BR,1597546131
393,Shimoda,34.67,138.95,91.4,75,20,9.17,JP,1597546131
394,Lorengau,-2.02,147.27,86.13,64,7,7.38,PG,1597546132
395,Luján,-34.57,-59.1,45.0,67,0,6.31,AR,1597546132
396,Gainesville,29.65,-82.32,78.8,88,1,4.7,US,1597546023
397,Lagoa,39.05,-27.98,73.36,86,41,22.06,PT,1597546132
398,Hobyo,5.35,48.53,75.79,75,100,20.69,SO,1597546132
399,Berlevåg,70.86,29.09,48.2,73,64,21.21,NO,1597546132
400,Sompeta,18.93,84.6,81.84,80,89,13.06,IN,1597546133
401,Dunedin,-45.87,170.5,46.0,81,83,13.0,NZ,1597545955
402,Angleton,29.17,-95.43,84.0,78,1,6.93,US,1597546133
403,Abu Samrah,35.3,37.18,67.42,69,0,8.34,SY,1597546133
404,Ségou,13.43,-6.22,74.26,88,100,12.03,ML,1597546133
405,Caravelas,-17.71,-39.25,71.83,92,67,4.92,BR,1597546133
406,Xichang,27.9,102.26,72.9,75,100,4.05,CN,1597546133
407,Santa Cruz de la Sierra,-17.8,-63.17,66.2,93,20,4.7,BO,1597545878
408,Vincennes,48.85,2.43,70.0,88,70,3.36,FR,1597546134
409,Harper,4.38,-7.72,74.79,80,72,10.89,LR,1597546134
410,Bam,29.11,58.36,93.22,19,0,4.59,IR,1597546134
411,Huilong,31.81,121.66,93.99,61,0,1.99,CN,1597546134
412,Tilichiki,60.47,166.1,55.44,70,100,8.32,RU,1597546134
413,Keelung,25.13,121.74,95.0,56,20,3.36,TW,1597546135
414,Alugan,12.22,125.48,86.02,68,75,6.08,PH,1597546135
415,Sovetskiy,61.36,63.58,52.59,71,0,5.44,RU,1597546135
416,Sasebo,33.16,129.72,91.4,63,20,5.82,JP,1597546135
417,Calabozo,8.92,-67.43,76.15,92,100,3.53,VE,1597546135
418,Pangody,65.85,74.49,47.7,92,100,14.18,RU,1597546135
419,Barbosa Ferraz,-24.03,-52.01,64.63,96,100,4.32,BR,1597546136
420,Adrar,20.5,-10.07,98.65,18,69,8.05,MR,1597546136
421,Mareeba,-17.0,145.43,87.01,23,0,8.99,AU,1597545944
422,Cuiabá,-15.6,-56.1,84.2,28,35,6.93,BR,1597546136
423,Sinnamary,5.38,-52.95,79.2,83,95,6.49,GF,1597546136
424,Blythe,33.61,-114.6,108.0,17,0,1.01,US,1597546136
425,Fort Collins,40.59,-105.08,75.99,55,10,1.01,US,1597546136
426,Washington,47.5,-120.5,89.01,27,0,1.12,US,1597546044
427,Evensk,61.95,159.23,61.11,61,52,10.45,RU,1597546137
428,Itumba,-9.4,33.18,54.21,84,89,5.06,TZ,1597546137
429,Båtsfjord,70.63,29.72,46.51,76,77,20.51,NO,1597546137
430,Macklin,52.33,-109.93,59.05,83,4,4.81,CA,1597546137
431,Luz,-19.8,-45.69,67.59,52,4,4.16,BR,1597546137
432,Asău,46.43,26.4,59.0,98,100,2.62,RO,1597546138
433,Agia Marina,37.75,23.53,79.0,38,0,1.01,GR,1597546138
434,Cap Malheureux,-19.98,57.61,72.0,65,67,7.0,MU,1597546138
435,Freeport,40.66,-73.58,73.4,64,90,11.41,US,1597546138
436,Kerugoya,-0.5,37.28,56.53,89,100,1.43,KE,1597546138
437,Zhezkazgan,47.8,67.71,66.2,45,90,8.95,KZ,1597546138
438,Maumere,-8.62,122.21,82.26,63,0,2.75,ID,1597546139
439,Maţāy,28.42,30.78,73.71,73,0,10.0,EG,1597546139
440,Bayan,46.08,127.4,78.76,64,3,7.72,CN,1597546139
441,Dalbandin,28.89,64.41,88.77,48,2,4.99,PK,1597546139
442,Ximeicun,24.96,118.38,89.6,62,20,4.47,CN,1597546139
443,Amuntai,-2.42,115.25,91.11,57,62,1.14,ID,1597546139
444,Vilyuysk,63.76,121.62,54.5,45,4,9.84,RU,1597546140
445,Malindi,-3.22,40.12,74.12,85,83,13.24,KE,1597546140
446,Oranjestad,12.52,-70.03,84.2,74,20,18.34,AW,1597545891
447,Santiago del Estero,-27.8,-64.26,53.04,41,26,5.59,AR,1597545976
448,Manokwari,-0.87,134.08,85.08,65,41,7.11,ID,1597546140
449,Akureyri,65.68,-18.09,44.6,93,53,5.06,IS,1597546140
450,Bolivar,37.61,-93.41,75.99,82,0,9.55,US,1597546140
451,Turukhansk,65.82,87.98,68.02,42,8,14.5,RU,1597546141
452,Bilibino,68.05,166.44,56.39,63,83,8.37,RU,1597546141
453,Cecilio Baez,-25.05,-56.32,59.52,95,71,5.23,PY,1597546141
454,Camopi,3.17,-52.32,72.9,92,84,2.28,GF,1597546141
455,Corowa,-36.03,146.38,55.0,86,93,5.99,AU,1597546142
456,Caucayá,-0.19,-74.78,73.47,96,95,0.34,CO,1597546142
457,Little Current,45.98,-81.92,68.0,77,75,2.24,CA,1597546142
458,Constitución,-35.33,-72.42,45.03,62,0,8.39,CL,1597546084
459,Longyearbyen,78.22,15.64,41.0,86,75,2.24,SJ,1597546142
460,Empório,40.48,21.55,62.6,93,0,3.36,GR,1597546143
461,Pundaguitan,6.37,126.17,84.54,70,43,4.05,PH,1597546143
462,Westport,41.14,-73.36,71.01,77,95,10.47,US,1597546144
463,Kruisfontein,-34.0,24.73,46.99,65,14,3.0,ZA,1597546144
464,Labuan,5.28,115.24,86.0,79,20,3.36,MY,1597546144
465,Mgandu,-5.95,34.13,55.27,76,21,9.44,TZ,1597546144
466,Bonavista,48.65,-53.11,50.0,86,0,1.99,CA,1597545938
467,Altamont,42.21,-121.74,91.4,18,1,10.29,US,1597546144
468,Pisco,-13.7,-76.22,62.6,77,92,5.82,PE,1597545977
469,Pashiya,58.43,58.26,52.41,69,100,12.21,RU,1597546145
470,Manono,-7.3,27.42,66.09,37,75,3.02,CD,1597546145
471,Avilés,43.55,-5.92,61.0,82,4,9.17,ES,1597546145
472,Ritchie,-29.04,24.6,44.6,75,0,6.93,ZA,1597546145
473,General Roca,-39.03,-67.58,46.4,39,17,13.87,AR,1597546145
474,Itatskiy,56.07,89.04,58.06,97,100,3.53,RU,1597546146
475,Mayo,38.89,-76.51,75.2,83,90,9.17,US,1597546146
476,College,64.86,-147.8,69.8,49,75,5.82,US,1597546146
477,Gushikawa,26.35,127.87,89.6,62,40,9.17,JP,1597546146
478,Jijiga,9.35,42.8,63.3,76,87,17.22,ET,1597546146
479,Virginia Beach,36.85,-75.98,77.0,94,90,10.29,US,1597546136
480,Yamethin,20.43,96.15,75.87,86,100,10.83,MM,1597546147
481,Nālūt,30.33,10.85,77.81,28,0,8.77,LY,1597546147
482,Ekibastuz,51.67,75.37,70.09,37,0,12.82,KZ,1597546147
483,Chipata,-13.63,32.65,56.61,62,65,4.88,ZM,1597546147
484,Pancas,-19.23,-40.85,67.48,96,19,2.64,BR,1597546147
485,Jumla,29.27,82.18,69.3,59,48,3.22,NP,1597546147
486,Broome,42.25,-75.83,68.0,77,75,8.05,US,1597546037
487,Chicama,-7.84,-79.15,60.1,83,73,3.89,PE,1597546148
488,Plettenberg Bay,-34.05,23.37,46.44,72,12,13.18,ZA,1597546148
489,Humberto de Campos,-2.6,-43.46,77.95,76,69,7.9,BR,1597546148
490,Xining,36.62,101.77,65.62,61,96,9.64,CN,1597546148
491,Newport,51.59,-3.0,64.0,98,100,7.09,GB,1597545955
492,Srednekolymsk,67.45,153.68,49.75,63,91,11.07,RU,1597546148
493,Flores,16.92,-89.9,75.09,90,79,3.53,GT,1597546149
494,Norfolk,42.17,-71.25,66.99,91,35,3.36,US,1597546149
495,Iquique,-20.22,-70.14,60.8,67,90,8.05,CL,1597546149
496,Moree,-29.47,149.85,59.0,67,75,9.17,AU,1597546149
497,Praia da Vitória,38.73,-27.07,71.6,83,20,11.39,PT,1597546149
498,Padang,-0.95,100.35,80.96,72,99,2.48,ID,1597546149
499,Biograd na Moru,43.94,15.45,75.99,82,0,3.36,HR,1597546149
500,Biak,-0.91,122.88,81.73,71,48,10.16,ID,1597546150
501,Batagay,67.63,134.63,42.69,62,99,6.46,RU,1597546150
502,Prieska,-29.66,22.75,38.07,81,0,9.75,ZA,1597546150
503,Dharān,26.81,87.28,84.0,70,3,6.35,NP,1597546150
504,Dvinskoy,62.15,45.12,49.39,77,91,5.17,RU,1597546151
505,Cururupu,-1.83,-44.87,76.68,84,55,5.28,BR,1597546066
506,Lethem,3.38,-59.8,76.44,83,33,4.83,GY,1597546151
507,Provost,52.35,-110.27,58.98,84,11,4.25,CA,1597545901
508,Kalmunai,7.42,81.82,83.25,65,81,0.58,LK,1597546151
509,Port Macquarie,-31.43,152.92,71.01,32,0,7.0,AU,1597546152
510,Kiama,-34.68,150.87,63.0,60,93,18.01,AU,1597546152
511,Tonj,7.27,28.68,70.7,92,74,3.87,SS,1597546152
512,Gaza,31.5,34.47,77.0,73,40,6.93,PS,1597545915
513,Nuuk,64.18,-51.72,44.6,81,0,8.05,GL,1597546152
514,Dingle,11.0,122.67,85.57,75,71,6.06,PH,1597546152
515,Turaif,31.67,38.66,71.6,53,0,6.93,SA,1597546152
516,La Ronge,55.1,-105.28,59.0,58,20,10.29,CA,1597546153
517,Formosa,-26.18,-58.18,51.8,93,0,4.7,AR,1597545952
518,Dārāb,28.75,54.54,87.04,35,0,0.87,IR,1597546153
519,Pocatello,42.87,-112.45,84.2,19,1,4.7,US,1597545957
520,São José da Coroa Grande,-8.9,-35.15,73.94,88,74,6.8,BR,1597546153
521,Ponta Delgada,37.73,-25.67,73.4,83,40,12.75,PT,1597546153
522,Oranjemund,-28.55,16.43,51.4,81,0,9.73,NA,1597546153
523,Havelock,34.88,-76.9,82.99,94,75,6.93,US,1597546154
524,Madawaska,47.36,-68.33,64.4,52,1,10.29,US,1597546154
525,Mpika,-11.83,31.45,53.73,71,26,4.85,ZM,1597546154
526,Dongsheng,39.82,109.98,71.4,61,64,8.1,CN,1597546154
527,Kuito,-12.38,16.93,51.17,41,0,3.06,AO,1597546154
528,Kouango,4.99,19.96,72.19,94,100,2.17,CF,1597546154
529,Cobija,-11.03,-68.77,79.27,63,1,2.64,BO,1597546155
530,Pangnirtung,66.15,-65.71,50.72,55,100,3.42,CA,1597546155
531,Kangasala,61.46,24.08,59.0,93,31,4.7,FI,1597546155
532,Eilat,29.56,34.95,75.25,47,0,4.21,IL,1597546155
533,Ca Mau,9.18,105.15,87.62,65,26,6.35,VN,1597546004
534,Trelew,-43.25,-65.31,46.08,53,46,24.74,AR,1597545907
535,Makkah al Mukarramah,21.43,39.83,86.31,32,93,3.87,SA,1597546156
536,Codajás,-3.84,-62.06,80.49,53,95,2.39,BR,1597546156
537,Richards Bay,-28.78,32.04,64.18,75,29,11.86,ZA,1597545895
538,Belyy Yar,53.6,91.39,66.2,88,75,2.24,RU,1597546156
539,San Isidro,-12.12,-77.05,60.8,82,90,10.29,PE,1597546156
540,Ürümqi,43.8,87.6,78.8,29,0,15.66,CN,1597546156
541,Loandjili,-4.76,11.86,71.6,100,75,2.24,CG,1597546157
542,Methóni,36.82,21.7,78.01,77,0,5.82,GR,1597546157
543,Petrovsk,52.31,45.39,49.8,83,88,12.12,RU,1597546157
544,Ust-Kuyga,70.02,135.6,41.59,68,100,4.61,RU,1597546157
545,Kalur Kot,32.16,71.26,95.59,43,26,8.1,PK,1597546157
546,Sawtell,-30.38,153.1,69.01,42,0,9.17,AU,1597546157
547,Camabatela,-8.19,15.38,56.8,98,74,3.42,AO,1597546158
548,Staraya Akkermanovka,51.25,58.24,55.4,82,13,13.42,RU,1597546158
549,Corinth,37.94,22.96,78.01,59,0,4.03,GR,1597546158
550,Amet,25.3,73.93,79.29,83,100,7.29,IN,1597546158
551,Lavrentiya,65.58,-171.0,58.35,53,0,6.31,RU,1597546158
552,Waipawa,-41.41,175.52,52.0,71,75,12.75,NZ,1597546159
553,Bloemfontein,-29.12,26.21,39.2,69,0,4.7,ZA,1597546159
554,Abaza,52.66,90.09,59.94,83,100,2.01,RU,1597546159
555,Valréas,44.38,4.99,69.01,82,12,2.55,FR,1597546160
556,Acton Vale,45.65,-72.57,66.99,91,0,7.0,CA,1597546160
557,Taoudenni,22.68,-3.98,100.72,10,0,8.88,ML,1597546160
558,Vao,-22.67,167.48,70.09,77,13,17.63,NC,1597546161
559,Klyuchi,52.27,79.17,65.75,58,1,5.77,RU,1597546161
560,Spassk-Ryazanskiy,54.41,40.38,53.01,91,62,5.12,RU,1597546161
561,Aykhal,66.0,111.5,57.2,47,0,2.24,RU,1597546161
562,Soto la Marina,23.77,-98.22,81.0,87,33,4.0,MX,1597545964
563,Puerto Colombia,10.99,-74.95,82.4,83,75,6.93,CO,1597546162
564,Nueve de Julio,-35.44,-60.88,39.99,44,0,1.01,AR,1597546162
565,Tromsø,69.65,18.96,44.6,81,87,40.26,NO,1597546162
566,Faya,18.39,42.45,68.0,68,80,3.4,SA,1597546162
567,Armidale,-30.52,151.65,46.99,89,67,7.0,AU,1597546162
